gu,public,welfare,corporate,private,home,parental,Job
강동,53,1,2,108,117,0,3
송파,57,1,5,146,195,2,15
강남,53,0,0,71,81,1,25
서초,61,0,1,44,79,2,19
관악,66,4,6,93,106,0,5
동작,53,3,2,74,90,1,7
영등포,54,2,1,77,99,0,30
금천,45,1,13,54,53,1,7
구로,60,3,8,97,158,6,9
강서,70,2,3,145,212,1,8
양천,66,0,3,86,169,1,6
마포,62,0,6,51,78,4,12
서대문,47,0,3,51,51,1,5
은평,41,1,7,158,84,1,2
노원,57,4,1,78,330,1,7
도봉,42,1,2,77,129,2,2
강북,46,1,3,72,49,1,2
성북,66,3,17,95,110,1,6
중랑,39,1,4,101,105,0,2
동대문,55,0,3,69,92,0,9
광진,34,0,4,106,65,2,3
성동,70,0,3,40,70,0,7
용산,28,2,9,28,51,1,9
중구,21,0,7,7,14,0,18
종로,28,2,3,11,5,0,26
