gu,public,welfare,corporate,private,home,parental,job
종로구,1647,85,123,453,84,0,1391
중구,1699,0,334,364,248,0,864
용산구,1631,75,316,1274,915,28,514
성동구,3760,0,158,1876,1270,0,200
광진구,2092,0,67,4541,1103,55,93
동대문구,2759,0,164,3385,1626,0,233
중랑구,2845,79,253,5451,1700,0,139
성북구,3224,122,912,3685,1885,23,202
강북구,2136,59,132,4479,737,27,65
도봉구,2139,22,65,4439,1966,32,132
노원구,3525,165,20,3869,4637,30,237
은평구,2059,95,197,8479,1312,34,60
서대문구,2567,0,126,2526,889,16,417
마포구,3671,0,188,2471,1314,142,450
양천구,3765,0,70,4662,2652,16,232
강서구,3912,263,150,7593,3611,26,344
구로구,3523,278,419,5172,2696,117,372
금천구,2278,218,622,2786,870,10,326
영등포구,2871,106,40,3752,1688,0,2060
동작구,3450,92,97,3424,1520,40,224
관악구,3732,65,352,3894,1819,0,519
서초구,3667,0,235,2189,1427,75,1363
강남구,4095,0,0,3332,1345,60,1140
송파구,3800,77,150,6856,3484,64,989
강동구,3251,77,147,6263,2006,0,174
